aggregator,lpra_version,attack,n_att,k,seed,rounds,strength,direction,final_f1,mean_last3_f1,rounds_all_attackers_rejected,attacker_rejections,honest_rejections,time_s
trimmed_mean,v2,noise,1,5,43,10,,,0.9702319265268199,0.9701821439019301,0,0,0,2.533044701000108
krum,v2,noise,1,5,43,10,,,0.9386693193557026,0.9386724477937017,10,10,30,2.499001442000008
multi_krum,v2,noise,1,5,43,10,,,0.9703401943967982,0.9703286365361062,10,10,0,2.595060298000135
lpra,v2,noise,1,5,43,10,,,0.9703748704570632,0.9703633117703081,10,10,0,2.605785866000133
fedavg,v2,noise,2,5,43,10,,,0.6555088236569396,0.7032683231125046,0,0,0,2.509230561000095
median,v2,noise,2,5,43,10,,,0.9383831807911768,0.9383816056335954,0,0,0,2.4455101610001293
trimmed_mean,v2,noise,2,5,43,10,,,0.9383831807911768,0.9383816056335954,0,0,0,2.504140301999996
krum,v2,noise,2,5,43,10,,,0.9384644840130193,0.9384389558399949,10,20,20,2.627991960000145
multi_krum,v2,noise,2,5,43,10,,,0.9385504804931276,0.9385082681544216,10,20,0,3.307924916999582
lpra,v2,noise,2,5,43,10,,,0.9383472466876005,0.9383050143914896,10,20,0,2.648893624000266
fedavg,v2,stealth,1,5,43,10,,,0.9703380744764492,0.9702897163527654,0,0,0,2.51977647800004
median,v2,stealth,1,5,43,10,,,0.938567598621218,0.936782297442956,0,0,0,2.4315019310001844
trimmed_mean,v2,stealth,1,5,43,10,,,0.970154055116703,0.9660324504299385,0,0,0,2.4968578959997103
krum,v2,stealth,1,5,43,10,,,0.938334928229665,0.9384974259149891,7,7,33,2.4980989179998687
multi_krum,v2,stealth,1,5,43,10,,,0.9383065905870639,0.9383336946540882,0,0,10,2.4182148610002514
lpra,v2,stealth,1,5,43,10,,,0.9703380744764492,0.9702897163527654,0,0,0,2.5088002539996523
fedavg,v2,stealth,2,5,43,10,,,0.9382252690436981,0.9382388231533151,0,0,0,2.4686306639996474
median,v2,stealth,2,5,43,10,,,0.9383784611849412,0.9383513506478965,0,0,0,2.3818266560001575
trimmed_mean,v2,stealth,2,5,43,10,,,0.9383784611849412,0.9383513506478965,0,0,0,2.4077352860003884
krum,v2,stealth,2,5,43,10,,,0.9383784611849412,0.938349778303141,0,10,30,2.3854151290001937
multi_krum,v2,stealth,2,5,43,10,,,0.9386223532564996,0.9386494451126076,0,0,20,2.4289132409999183
lpra,v2,stealth,2,5,43,10,,,0.9382252690436981,0.9382388231533151,0,0,0,1.8601188020002155
fedavg,v2,none,0,5,44,10,,,0.970454789039334,0.9705283428689516,0,0,0,1.8564996239997527
median,v2,none,0,5,44,10,,,0.9387801983230598,0.9386989275811252,0,0,0,1.694143897000231
trimmed_mean,v2,none,0,5,44,10,,,0.9386582937662735,0.938617651652495,0,0,0,1.7101543260000653
krum,v2,none,0,5,44,10,,,0.9381147384132573,0.9381027711376047,0,0,40,1.7531536520000373
